Place ID,ID_GERADO,ChIJ-SApQ2l_mQARnALEEfr3Yy8,ChIJP6FKmNV_mQAR3gKVAdeEyZ0,ChIJUSQw7WF_mQARQKXFPmK9_6A,ChIJDYuIul1-mQAR5XRi7ogx8_U,ChIJf1woiGR_mQARyXRjaTaeIBc,ChIJ0QTJyWF_mQAR4t3oNko2kQo,ChIJA0tgM6PVmwARYbqb7Eo9VO4,ChIJaXW-F2R_mQARjtqcwUcZSfM,ChIJXbKphbbVmwARkyFh0LoSTOY,ChIJvch0AuKBmQARa8EZwQfXKO4,ChIJrUO6YFDVmwARA_xn-WO3k3U,ChIJ8bDN5_Z-mQAROixoqiaG1gY,ChIJDYuIul1-mQARAafCRTkkdAQ,ChIJV30alGR_mQARXw03wD-LgiI,ChIJY5-Azn1_mQAR1nohflxBA_8,ChIJr02tNYV_mQARYiP3ZAzKpZ8,ChIJKTscSaV-mQARELVVUvouOCA,ChIJzyDl_eV-mQAReMW7fLq8c1o,ChIJRQHQkQ1_mQARfRZwxYdugdA,ChIJfw5LPHjVmwARI8TbAsKq5CQ,ChIJm2g1bV9_mQARapHw1bCoth8,ChIJn-4P7Fh_mQARpnoOXO4uihM,ChIJIe1CNFl_mQARG8VNRU8zMXY,ChIJoaaal6V-mQARN2GhWM0H4A0,ChIJ_daeFfB-mQARRgals-wQ6eQ,ChIJA-SWwIZ_mQARZhCvr4FdDjs,ChIJS1nNgmd_mQARQzyarreSaEM,ChIJ8wnYC-9_mQARcI4__yOG8TM,ChIJGx7BXoh-mQARK_B4SbrTjTI,ChIJ0d1kUQp-mQARZ17Wa3A9NKc,ChIJfVzFqCPVmwARUBFlJIm6e8k,ChIJ6ZhYkbd9mQARJJ0N13gYnw4,ChIJabwOd29_mQARKGuNjNLqwuM,ChIJIVr_4xB-mQARA3_foQEaiIA,ChIJiS4yHPp-mQARAgzgz4kGrs8,ChIJ3Vt-cOKBmQARV_PYv8SfH2A,ChIJcSsrEEd8mQARzsVXC8nv8uk,ChIJ4zqbyNV_mQAR_BSfApu9sEY
ChIJzyDl_eV-mQAReMW7fLq8c1o,"6,857","5,334","19,401","7,512","5,333","6,927","7,302","11,098","6,92","12,123","6,659","12,266","1,615","4,142","7,088","8,826","8,852","6,041",0,"4,609","9,353","7,029","7,874","6,336","9,603","0,935","8,997","6,581","9,485","3,633","6,3","14,646","8,727","6,119","6,317","2,214","11,579","7,17","16,501"
ChIJRQHQkQ1_mQARfRZwxYdugdA,"7,236","2,435","12,284","3,165","5,711","4,025","3,455","9,395","2,721","10,42","3,758","8,84","5,609","4,494","3,463","4,475","4,825","10,783","6,691",0,"7,65","4,01","6,976","3,461","10,722","5,297","4,97","3,68","5,459","6,642","6,679","12,943","9,106","2,243","5,056","4,594","6,415","11,534","15,403"
ChIJfw5LPHjVmwARI8TbAsKq5CQ,"13,078","10,707","11,254","12,885","11,554","12,3","9,366","2,64","12,293","3,665","12,032","4,003","11,554","10,337","9,241","7,373","7,501","18,212","10,633","9,544",0,"11,866","13,181","11,709","18,151","10,874","7,645","11,954","4,075","12,485","12,522","7,158","14,948","11,054","10,931","10,436","12,006","20,49","20,43"
ChIJm2g1bV9_mQARapHw1bCoth8,"9,164","3,678","15,475","3,523","7,64","2,938","3,313","12,646","2,931","13,67","2,67","11,313","6,806","6,423","3,099","4,837","8,017","12,158","7,267","3,775","10,9",0,"9,003","2,332","12,097","6,493","8,162","2,592","8,65","8,571","8,607","16,194","11,034","3,132","8,597","5,79","6,729","13,524","18,781"
ChIJn-4P7Fh_mQARpnoOXO4uihM,"11,948","5,196","14,916","4,041","10,424","4,516","2,558","12,89","3,597","13,915","4,24","10,246","9,589","9,206","4,353","4,441","5,512","15,376","10,051","4,974","11,145","2,784",0,"5,115","15,314","9,277","5,657","4,333","9,929","11,355","11,391","13,518","13,818","5,053","11,381","8,574","3,705","16,175","21,565"
ChIJIe1CNFl_mQARG8VNRU8zMXY,"8,776","3,29","15,088","3,136","7,252","2,55","2,925","12,258","2,543","13,282","2,283","10,925","6,418","6,035","2,712","4,45","7,629","14,458","6,879","3,387","10,513","2,653","8,616",0,"14,397","6,106","7,774","2,205","8,263","8,183","8,22","15,806","10,646","2,744","8,209","5,402","6,341","13,137","18,393"
ChIJoaaal6V-mQARN2GhWM0H4A0,"7,622","8,874","23,276","11,052","5,813","10,466","11,589","14,973","10,46","15,998","10,199","19,278","5,59","8,752","10,628","13,472","12,249","0,542","4,669","8,007","13,228","11,816","9,032","9,876",0,"4,91","14,688","10,121","12,883","3,917","6,875","18,521","8,43","9,659","10,926","6,361","12,737","5,249","21,11"
ChIJ_daeFfB-mQARRgals-wQ6eQ,"6,133","5,061","19,127","7,238","4,609","6,653","7,028","10,825","6,646","11,849","6,386","11,993","1,126","3,419","6,814","8,552","8,578","5,552","1,72","4,336","9,08","6,756","7,601","6,062","5,481",0,"8,723","6,307","9,212","3,144","5,577","14,373","8,003","5,846","5,593","1,49","11,306","6,68","15,777"
ChIJA-SWwIZ_mQARZhCvr4FdDjs,"10,943","5,077","9,77","4,738","9,419","3,679","3,641","8,131","3,951","9,156","4,886","5,776","8,585","8,202","3,516","1,887","0,626","16,611","9,031","3,564","6,386","4,473","10,768","6,104","16,549","9,273",0,"6,322","2,908","10,35","10,387","9,048","12,813","4,584","10,376","7,57","6,283","18,889","20,56"
ChIJS1nNgmd_mQARQzyarreSaEM,"8,707","1,923","13,088","1,647","7,182","1,062","1,437","12,188","1,055","13,212","0,794","9,436","6,348","5,965","1,223","2,961","4,032","14,391","6,812","1,824","10,443","1,165","8,548","2,927","14,329","7,053","4,177",0,"7,439","8,113","8,15","12,708","10,577","1,255","8,14","5,333","4,853","13,067","18,323"
ChIJ8wnYC-9_mQARcI4__yOG8TM,"13,483","7,255","11,658","7,988","11,959","6,93","6,891","4,859","7,201","5,883","8,137","3,385","11,959","10,741","6,766","4,899","4,303","18,617","11,038","5,742","3,114","9,392","13,585","8,282","18,555","11,279","4,448","8,23",0,"12,89","12,926","8,341","15,353","6,762","11,335","10,841","9,532","20,895","22,795"
ChIJGx7BXoh-mQARK_B4SbrTjTI,"4,172","7,073","21,19","9,249","2,363","8,664","11,726","12,887","8,657","13,912","8,397","14,055","2,607","3,839","8,826","13,609","10,588","4,716","3,782","6,346","11,142","8,767","9,168","8,082","4,645","2,063","10,733","8,318","11,222",0,"3,424","16,435","4,707","7,856","6,013","3,205","12,873","5,844","16,197"
ChIJ0d1kUQp-mQARZ17Wa3A9NKc,"0,732","7,515","21,644","9,691","2,804","9,106","9,481","13,342","9,099","14,366","8,838","14,51","7,186","2,754","9,267","11,005","11,03","8,44","8,361","6,787","11,597","9,208","10,466","8,524","8,369","6,642","11,175","8,76","11,663","4,579",0,"16,89","3,725","8,298","3,442","5,019","14,171","6,527","12,45"
ChIJfVzFqCPVmwARUBFlJIm6e8k,"16,657","14,286","14,833","14,811","15,133","12,319","13,455","6,081","14,367","4,995","15,01","3,204","15,133","13,915","12,156","10,297","9,812","21,791","14,212","11,26","6,365","13,569","16,76","15,288","21,73","14,453","9,957","15,103","6,682","16,064","16,1",0,"18,527","12,28","14,509","14,015","13,709","24,069","21,257"
ChIJ6ZhYkbd9mQARJJ0N13gYnw4,"4,188","9,789","23,919","11,965","5,078","11,38","11,755","15,616","11,373","16,64","11,112","16,784","6,826","6,306","11,541","13,279","13,304","8,496","7,697","9,062","13,871","11,483","12,059","10,798","8,434","6,282","13,449","11,034","13,938","4,219","3,44","19,164",0,"10,572","6,897","6,94","15,764","3,138","15,905"
ChIJabwOd29_mQARKGuNjNLqwuM,"8,339","1,556","13,773","1,511","6,815","2,236","2,088","11,82","1,067","12,845","2,879","10,155","5,98","5,597","2,072","3,603","6,315","14,023","6,444","1,333","10,075","2,356","8,18","2,56","13,962","6,685","4,819","2,801","6,948","7,746","7,782","15,368","10,209",0,"6,395","4,965","4,456","12,699","17,956"
ChIJIVr_4xB-mQARA3_foQEaiIA,"3,07","7,233","16,817","9,41","3,15","8,824","9,199","13,06","8,817","14,085","8,557","14,228","5,753","2,786","8,986","10,724","10,748","8,785","7,039","6,506","11,315","8,927","10,185","8,242","8,714","5,44","10,893","8,478","11,382","4,96","3,354","16,608","6,724","8,016",0,"4,737","13,89","9,526","10,344"
ChIJiS4yHPp-mQARAgzgz4kGrs8,"5,006","4,812","19,209","6,99","3,482","6,405","6,78","10,906","6,398","11,931","6,137","12,074","0,71","2,292","6,566","8,304","8,33","6,384","2,846","4,087","9,161","6,508","7,351","5,814","6,313","1,247","8,475","6,059","8,963","3,138","4,45","14,454","6,876","5,598","4,466",0,"11,056","7,513","14,65"
ChIJ3Vt-cOKBmQARV_PYv8SfH2A,"12,933","11,197","21,274","13,896","11,124","14,371","12,413","20,796","10,921","21,82","10,66","20,101","10,361","12,6","14,207","14,296","13,816","11,671","10,392","9,574","19,051","12,639","9,855","10,321","11,61","9,817","13,961","10,582","14,449","9,227","12,186","23,372","13,469","14,908","14,775","10,96",0,"12,47","24,959"
ChIJcSsrEEd8mQARzsVXC8nv8uk,"7,023","14,974","30,364","17,151","8,619","16,566","17,689","22,061","16,559","23,086","16,298","23,229","13,185","10,095","16,727","19,572","18,349","6,797","12,263","14,106","20,316","17,915","15,131","15,975","6,736","12,505","18,494","16,22","18,982","6,722","6,275","25,61","3,792","15,759","9,732","13,783","18,836",0,"18,741"
ChIJ4zqbyNV_mQAR_BSfApu9sEY,"16,062","20,226","16,353","22,402","16,143","21,816","22,192","15,992","21,81","18,166","21,549","23,558","18,745","15,778","21,978","23,716","23,741","21,777","20,031","19,498","18,2","21,919","23,177","21,235","21,706","18,433","23,886","21,471","24,374","17,952","16,346","22,02","19,716","21,009","13,763","17,729","26,882","22,518",0
